,HS578T_BREAST,HCC1937_BREAST,DU4475_BREAST,BT549_BREAST,HCC1143_BREAST,MDAMB436_BREAST,MDAMB157_BREAST,HCC1806_BREAST,HCC1395_BREAST,HMC18_BREAST,MDAMB231_BREAST,MDAMB468_BREAST,CAL51_BREAST,MDAMB453_BREAST
ABI1_10006.,-0.000302264,-0.208777248,-0.079000915,-0.107355117,0.017727807,-0.109629821,0.091704388,-0.057177214,-0.026603854,-0.056635235,-0.168022767,-0.051194743,-0.124805786,0.068950096
ABI2_10152.,0.062178586,-0.037736051,0.030270423,0.004133641,0.113449816,0.030078748,-0.033308464,0.047240225,-0.028811622,0.025825456,-0.034574451,0.025188096,0.001102468,0.081734166
ABI3_51225.,0.023603813,0.139099336,0.021039678,0.059734814,0.045458421,-0.020287681,-0.015781897,0.015086281,-0.065418458,-0.028978874,0.101324872,0.095983692,0.078882007,-0.037598261
ABI3BP_25890.,0.10309224,0.067671156,0.12972505,0.090663353,0.198405037,0.055590262,0.127860291,0.109797453,0.015389857,0.165044222,0.108828246,-0.089213892,0.11127223,0.065967156
ABL1_25.,-0.272594914,-0.015755447,0.134178012,0.197336775,-0.154908305,-0.035809471,0.004631699,-0.105077507,-0.09785563,-0.119488038,-0.060439158,-0.088052507,0.082443443,-0.106106232
ABL2_27.,0.08251168,-0.019387856,0.017964148,0.161934253,0.22711836,0.127361452,0.220308477,0.059599681,0.143217169,0.153923433,0.186553103,0.136824814,0.226474969,0.080532023
ABLIM1_3983.,-0.059517461,-0.083945926,-0.044594749,0.001156217,0.16107625,0.004377942,-0.062728897,0.048063531,0.029601449,-0.000260922,0.310594942,0.121354065,-0.051376562,0.055682511
ABLIM2_84448.,0.046898295,-0.045961128,-0.120942542,0.057087624,0.108817292,-0.018976848,0.058763046,-0.059966654,-0.008329317,-0.002665477,-0.010495688,0.028854397,-0.001683753,0.060065495
ABLIM3_22885.,-0.026178504,-0.038778045,-0.043926152,0.022667482,0.090192655,0.048199836,0.041945011,0.061457714,0.107469315,0.059602746,0.249210644,0.063827305,0.076230903,0.005596843
ABR_29.,0.034785638,-0.010614641,-0.000703837,-0.216147664,0.16959555,0.135561316,0.058544638,-0.096937289,-0.110031084,0.014433981,0.12653795,0.107193809,-0.167499495,-0.061119078
